Fecha,Zona,Valor
2026-03-22 16:00:00+00:00,Bélgica,457.17
2026-03-22 16:00:00+00:00,Alemania,582.54
2026-03-22 17:00:00+00:00,Alemania,696.76
2026-03-22 17:00:00+00:00,Bélgica,611.51
2026-03-22 17:00:00+00:00,España,53.25
2026-03-22 17:00:00+00:00,Francia,314.48
2026-03-22 17:00:00+00:00,Países Bajos,652.01
2026-03-22 17:00:00+00:00,Portugal,53.25
2026-03-22 18:00:00+00:00,Portugal,205.48
2026-03-22 18:00:00+00:00,Países Bajos,676.22
2026-03-22 18:00:00+00:00,Francia,505.92
2026-03-22 18:00:00+00:00,España,205.48
2026-03-22 18:00:00+00:00,Bélgica,649.6
2026-03-22 18:00:00+00:00,Alemania,693.53
2026-03-22 19:00:00+00:00,Alemania,658.93
2026-03-22 19:00:00+00:00,Bélgica,580.73
2026-03-22 19:00:00+00:00,España,308.9
2026-03-22 19:00:00+00:00,Francia,340.35
2026-03-22 19:00:00+00:00,Países Bajos,627.44
2026-03-22 19:00:00+00:00,Portugal,308.9
2026-03-22 20:00:00+00:00,Países Bajos,574.43
2026-03-22 20:00:00+00:00,Francia,285.2
2026-03-22 20:00:00+00:00,Portugal,243.43
2026-03-22 20:00:00+00:00,Bélgica,520.69
2026-03-22 20:00:00+00:00,Alemania,621.51
2026-03-22 20:00:00+00:00,España,243.43
2026-03-22 21:00:00+00:00,Alemania,587.19
2026-03-22 21:00:00+00:00,Bélgica,511.09
2026-03-22 21:00:00+00:00,España,146.23
2026-03-22 21:00:00+00:00,Francia,333.15
2026-03-22 21:00:00+00:00,Países Bajos,549.36
2026-03-22 21:00:00+00:00,Portugal,146.23
2026-03-22 22:00:00+00:00,Países Bajos,529.32
2026-03-22 22:00:00+00:00,Francia,283.41
2026-03-22 22:00:00+00:00,Portugal,75.9
2026-03-22 22:00:00+00:00,Bélgica,488.23
2026-03-22 22:00:00+00:00,Alemania,574.02
2026-03-22 22:00:00+00:00,España,75.9
2026-03-22 23:00:00+00:00,Países Bajos,490.02
2026-03-22 23:00:00+00:00,Francia,269.93
2026-03-22 23:00:00+00:00,Portugal,67.39
2026-03-22 23:00:00+00:00,Bélgica,450.52
2026-03-22 23:00:00+00:00,Alemania,524.55
2026-03-22 23:00:00+00:00,España,67.39
2026-03-23 00:00:00+00:00,Alemania,503.6
2026-03-23 00:00:00+00:00,Bélgica,459.24
2026-03-23 00:00:00+00:00,España,44.24
2026-03-23 00:00:00+00:00,Francia,349.42
2026-03-23 00:00:00+00:00,Países Bajos,483.34
2026-03-23 00:00:00+00:00,Portugal,44.24
2026-03-23 01:00:00+00:00,Países Bajos,483.88
2026-03-23 01:00:00+00:00,Portugal,33.76
2026-03-23 01:00:00+00:00,España,33.76
2026-03-23 01:00:00+00:00,Bélgica,464.76
2026-03-23 01:00:00+00:00,Alemania,500.64
2026-03-23 01:00:00+00:00,Francia,376.89
2026-03-23 02:00:00+00:00,Alemania,514.35
2026-03-23 02:00:00+00:00,Bélgica,441.99
2026-03-23 02:00:00+00:00,España,38.31
2026-03-23 02:00:00+00:00,Francia,270.0
2026-03-23 02:00:00+00:00,Países Bajos,478.63
2026-03-23 02:00:00+00:00,Portugal,38.31
2026-03-23 03:00:00+00:00,Francia,211.25
2026-03-23 03:00:00+00:00,Portugal,44.56
2026-03-23 03:00:00+00:00,Países Bajos,501.7
2026-03-23 03:00:00+00:00,Bélgica,452.0
2026-03-23 03:00:00+00:00,Alemania,553.07
2026-03-23 03:00:00+00:00,España,44.56
2026-03-23 04:00:00+00:00,Países Bajos,570.07
2026-03-23 04:00:00+00:00,Alemania,622.88
2026-03-23 04:00:00+00:00,Bélgica,525.4
2026-03-23 04:00:00+00:00,España,56.64
2026-03-23 04:00:00+00:00,Francia,294.29
2026-03-23 04:00:00+00:00,Portugal,56.64
2026-03-23 05:00:00+00:00,Países Bajos,699.3
2026-03-23 05:00:00+00:00,Portugal,160.62
2026-03-23 05:00:00+00:00,Francia,544.0
2026-03-23 05:00:00+00:00,España,160.62
2026-03-23 05:00:00+00:00,Bélgica,674.08
2026-03-23 05:00:00+00:00,Alemania,729.16
2026-03-23 06:00:00+00:00,Alemania,744.74
2026-03-23 06:00:00+00:00,Bélgica,733.56
2026-03-23 06:00:00+00:00,España,272.21
2026-03-23 06:00:00+00:00,Francia,707.2
2026-03-23 06:00:00+00:00,Países Bajos,738.96
2026-03-23 06:00:00+00:00,Portugal,272.21
2026-03-23 07:00:00+00:00,Portugal,176.41
2026-03-23 07:00:00+00:00,Países Bajos,591.37
2026-03-23 07:00:00+00:00,Francia,592.77
2026-03-23 07:00:00+00:00,España,176.41
2026-03-23 07:00:00+00:00,Bélgica,592.44
2026-03-23 07:00:00+00:00,Alemania,590.42
2026-03-23 08:00:00+00:00,Alemania,432.0
2026-03-23 08:00:00+00:00,Bélgica,417.26
2026-03-23 08:00:00+00:00,España,7.87
2026-03-23 08:00:00+00:00,Francia,357.95
2026-03-23 08:00:00+00:00,Países Bajos,427.25
2026-03-23 08:00:00+00:00,Portugal,7.87
2026-03-23 09:00:00+00:00,Francia,122.78
2026-03-23 09:00:00+00:00,España,0.0
2026-03-23 09:00:00+00:00,Países Bajos,303.82
2026-03-23 09:00:00+00:00,Alemania,325.73
2026-03-23 09:00:00+00:00,Bélgica,271.31
2026-03-23 09:00:00+00:00,Portugal,0.0
2026-03-23 10:00:00+00:00,Países Bajos,180.81
2026-03-23 10:00:00+00:00,Francia,48.41
2026-03-23 10:00:00+00:00,Portugal,-0.06
2026-03-23 10:00:00+00:00,Bélgica,161.42
2026-03-23 10:00:00+00:00,España,-0.06
